name,recclass,mass (g),year,reclat,reclong
Carancas,H4-5,342,01/01/2007 12:00:00 AM,-16.664440,-69.043890
Caratash,LL6,8,01/01/1902 12:00:00 AM,38.500000,27.000000
Castalia,H5,7300,01/01/1874 12:00:00 AM,36.083330,-78.066670
Castel Berardenga,Stone-uncl,,01/01/1791 12:00:00 AM,43.350000,11.500000
Castine,L6,94,01/01/1848 12:00:00 AM,44.383330,-68.750000
Castrovillari,Stone-uncl,15000,01/01/1583 12:00:00 AM,39.800000,16.200000
Caswell County,OC,1360,01/01/1810 12:00:00 AM,36.500000,-79.250000
Ceniceros,L3.7,1025,01/01/1988 12:00:00 AM,26.466670,-105.233330
Centerville,H5,45.6,01/01/1956 12:00:00 AM,43.200000,-96.916670
Cereseto,H5,6460,01/01/1840 12:00:00 AM,45.083330,8.300000
Chadong,L6,3700,01/01/1998 12:00:00 AM,28.533330,109.316670
Chail,H6,0.5,01/01/1814 12:00:00 AM,25.366670,81.666670
Chainpur,LL3.4,8200,01/01/1907 12:00:00 AM,25.850000,83.483330
Chajari,L5,18300,01/01/1933 12:00:00 AM,-30.783330,-58.050000
Chandakapur,L5,8800,01/01/1838 12:00:00 AM,20.266670,76.016670
Chandpur,L6,1100,01/01/1885 12:00:00 AM,27.283330,79.050000
Changde,H5,1810,01/01/1977 12:00:00 AM,29.083330,111.750000
Chantonnay,L6,31500,01/01/1812 12:00:00 AM,46.683330,1.050000
Charlotte,"Iron, IVA",4300,01/01/1835 12:00:00 AM,36.166670,-87.333330
Charsonville,H6,27000,01/01/1810 12:00:00 AM,47.933330,1.566670
Charwallas,H6,12000,01/01/1834 12:00:00 AM,29.483330,75.500000
Chassigny,Martian (chassignite),4000,01/01/1815 12:00:00 AM,47.716670,5.366670
Château-Renard,L6,30000,01/01/1841 12:00:00 AM,47.933330,2.916670
Chaves,Howardite,2945,01/01/1925 12:00:00 AM,41.933330,-7.466670
Chela,H4,2936,01/01/1988 12:00:00 AM,-3.666670,32.500000
Chelyabinsk,LL5,100000,01/01/2013 12:00:00 AM,54.816670,61.116670
Chergach ,H5,100000,01/01/2007 12:00:00 AM,23.696390,-5.014720
Chernyi Bor,H4,6000,01/01/1964 12:00:00 AM,53.700000,30.100000
Cherokee Springs,LL6,8400,01/01/1933 12:00:00 AM,35.033330,-81.883330
Chervettaz,L5,705,01/01/1901 12:00:00 AM,46.550000,6.816670
Chervony Kut,Eucrite-mmict,1700,01/01/1939 12:00:00 AM,50.833330,34.000000
Chetrinahatti,Stone-uncl,72,01/01/1880 12:00:00 AM,14.500000,76.500000
Chiang Khan,H6,367,01/01/1981 12:00:00 AM,17.900000,101.633330
Chicora,LL6,303,01/01/1938 12:00:00 AM,40.933330,-79.733330
Chisenga,"Iron, IIIAB",3920,01/01/1988 12:00:00 AM,-10.059440,33.395000
Chitado,L6,,01/01/1966 12:00:00 AM,-17.350000,13.966670
Chitenay,L6,4000,01/01/1978 12:00:00 AM,47.470830,0.976670
Cilimus,L5,1600,01/01/1979 12:00:00 AM,-6.950000,108.100000
Claxton,L6,1455,01/01/1984 12:00:00 AM,32.102500,-81.872780
Clohars,L4,48.6,01/01/1822 12:00:00 AM,,
Colby (Wisconsin),L6,104000,01/01/1917 12:00:00 AM,44.900000,-90.283330
Cold Bokkeveld,CM2,5200,01/01/1838 12:00:00 AM,-33.133330,19.383330
Coleman,L6,469,01/01/1994 12:00:00 AM,43.761110,-84.507780
Collescipoli,H5,5000,01/01/1890 12:00:00 AM,42.533330,12.616670
Conquista,H4,20350,01/01/1965 12:00:00 AM,-19.850000,-47.550000
Cosina,H5,1200,01/01/1844 12:00:00 AM,21.166670,-100.866670
Cranganore,L6,1460,01/01/1917 12:00:00 AM,10.200000,76.266670
Crescent,CM2,78.400000000000006,01/01/1936 12:00:00 AM,35.950000,-97.583330
Cronstad,H5,3650,01/01/1877 12:00:00 AM,-27.700000,27.300000
Cross Roads,H5,167,01/01/1892 12:00:00 AM,35.633330,-78.133330
Crumlin,L5,4255,01/01/1902 12:00:00 AM,54.616670,-6.216670
Cumberland Falls,Aubrite,17000,01/01/1919 12:00:00 AM,36.833330,-84.350000
Cynthiana,L/LL4,6000,01/01/1877 12:00:00 AM,38.400000,-84.250000
Dahmani,LL6,18000,01/01/1981 12:00:00 AM,35.616670,8.833330
Dandapur,L6,5650,01/01/1878 12:00:00 AM,26.916670,83.966670
Daniel's Kuil,EL6,1064,01/01/1868 12:00:00 AM,-28.200000,24.566670
Danville,L6,2000,01/01/1868 12:00:00 AM,34.400000,-87.066670
Darmstadt,H5,100,01/01/1804 12:00:00 AM,49.866670,8.650000
Dashoguz,H5,7000,01/01/1998 12:00:00 AM,41.984440,59.685000
Daule,L5,6580,01/01/2008 12:00:00 AM,-1.870890,-79.957560
De Cewsville,H6,340,01/01/1887 12:00:00 AM,43.000000,-80.000000
Deal,L6,28,01/01/1829 12:00:00 AM,40.250000,-74.000000
Delhi,L5,0.8,01/01/1897 12:00:00 AM,28.566670,77.250000
Demina,L6,16400,01/01/1911 12:00:00 AM,51.466670,84.766670
Denver,L6,230,01/01/1967 12:00:00 AM,39.782500,-104.930560
Dergaon,H5,12500,01/01/2001 12:00:00 AM,26.683330,93.866670
Desuri,H6,25400,01/01/1962 12:00:00 AM,25.733330,73.616670
Devgaon,H3.8,12000,01/01/2001 12:00:00 AM,19.000000,81.000000
Devri-Khera,L6,1140,01/01/1994 12:00:00 AM,24.225000,76.525000
Dhajala,H3.8,45000,01/01/1976 12:00:00 AM,22.377780,71.427220
Dharwar,OC,1800,01/01/1848 12:00:00 AM,14.883330,75.600000
Dhurmsala,LL6,32000,01/01/1860 12:00:00 AM,32.233330,76.466670
Didim,H3-5,3396,01/01/2007 12:00:00 AM,37.351720,27.329970
Diep River,L6,1000,01/01/1906 12:00:00 AM,-33.750000,18.566670
Distrito Quebracho,H4,400,01/01/1957 12:00:00 AM,-31.883330,-60.466670
Djati-Pengilon,H6,166000,01/01/1884 12:00:00 AM,-7.500000,111.500000
Djermaia,H,3950,01/01/1961 12:00:00 AM,12.733330,15.050000
Djoumine,H5-6,10000,01/01/1999 12:00:00 AM,36.950000,9.550000
Dokachi,H5,3840,01/01/1903 12:00:00 AM,23.500000,90.333330
Dolgovoli,L6,1600,01/01/1864 12:00:00 AM,50.750000,25.300000
Domanitch,L5,438,01/01/1907 12:00:00 AM,40.000000,29.000000
Dong Ujimqin Qi,Mesosiderite,128800,01/01/1995 12:00:00 AM,45.500000,119.033330
Donga Kohrod,H6,230,01/01/1899 12:00:00 AM,21.866670,82.450000
Dongtai,LL6,5500,01/01/1970 12:00:00 AM,32.916670,120.783330
Doroninsk,H5-7,3891,01/01/1805 12:00:00 AM,51.200000,112.300000
Dosso,L6,1250,01/01/1962 12:00:00 AM,13.050000,3.166670
Douar Mghila,LL6,1161,01/01/1932 12:00:00 AM,32.333330,-6.300000
Dowa,Stone-uncl,642,01/01/1976 12:00:00 AM,-13.666670,33.916670
Drake Creek,L6,5000,01/01/1827 12:00:00 AM,36.400000,-86.500000
Dresden (Ontario),H6,47700,01/01/1939 12:00:00 AM,42.520000,-82.260000
Dubrovnik,L3-6,1900,01/01/1951 12:00:00 AM,42.458330,18.441670
Dunbogan,L6,30,01/01/1999 12:00:00 AM,-31.666670,152.833330
Dundrum,H5,2270,01/01/1865 12:00:00 AM,52.550000,-8.033330
Dunhua,Stone-uncl,,01/01/1976 12:00:00 AM,43.333330,128.250000
Durala,L6,13200,01/01/1815 12:00:00 AM,30.300000,76.633330
Duruma,L6,577,01/01/1853 12:00:00 AM,-4.000000,39.500000
Duwun,L6,2117,01/01/1943 12:00:00 AM,33.433330,127.266670
Dwaleni,H4-6,3230,01/01/1970 12:00:00 AM,-27.200000,31.316670
Dyalpur,Ureilite,300,01/01/1872 12:00:00 AM,26.250000,82.000000
Dyarrl Island,Mesosiderite-A1,188,01/01/1933 12:00:00 AM,-3.000000,151.000000
Eagle,EL6,10000,01/01/1947 12:00:00 AM,40.781670,-96.471670
Ehole,H5,2400,01/01/1961 12:00:00 AM,-17.300000,15.833330
Eichstädt,H5,3000,01/01/1785 12:00:00 AM,48.900000,11.216670
Ekeby,H4,3336,01/01/1939 12:00:00 AM,56.033330,13.000000
Ekh Khera,H6,840,01/01/1916 12:00:00 AM,28.266670,78.783330
El Idrissia,L6,10000,01/01/1989 12:00:00 AM,34.416670,3.250000
El Paso de Aguila,H5,17226,01/01/1977 12:00:00 AM,25.370000,-97.370000
El Tigre,L6,5000,01/01/1993 12:00:00 AM,19.967220,-103.051670
Elbert,LL6,680.5,01/01/1998 12:00:00 AM,39.246670,-104.588170
Elbogen,"Iron, IID",107000,12/24/1399 12:00:00 AM,50.183330,12.733330
Elenovka,L5,54640,01/01/1951 12:00:00 AM,47.833330,37.666670
Ellemeet,Diogenite,1470,01/01/1925 12:00:00 AM,51.750000,4.000000
Emmaville,Eucrite-mmict,127,01/01/1900 12:00:00 AM,-29.466670,151.616670
Enshi,H5,8000,01/01/1974 12:00:00 AM,30.300000,109.500000
Ensisheim,LL6,127000,12/23/1491 12:00:00 AM,47.866670,7.350000
Épinal,H5,277,01/01/1822 12:00:00 AM,48.183330,6.466670
Erakot,CM2,113,01/01/1940 12:00:00 AM,19.033330,81.891670
Erevan,Howardite,107.2,01/01/1911 12:00:00 AM,40.300000,44.500000
Ergheo,L5,20000,01/01/1889 12:00:00 AM,1.166670,44.166670
Erxleben,H6,2250,01/01/1812 12:00:00 AM,52.216670,11.250000
Esnandes,L6,1500,01/01/1837 12:00:00 AM,46.250000,-1.100000
Essebi,C2-ung,500,01/01/1957 12:00:00 AM,2.883330,30.833330
Estherville,Mesosiderite-A3/4,320000,01/01/1879 12:00:00 AM,43.416670,-94.833330
